CRMSN,Mansion,1006N 08522W,,
COTBC,Turbaco,1019N 07524W,,
VELTQ,Los Teques,1020N 06702W,,
PHMAN,"Mandaue, Cebu",1020N 12356E,,
BRRBL,Ribeiropolis,1032S 03726W,,
TTTCY,Trincity,1038N 06122W,,
BFBER,Beregadougou,1046N 00445W,,
INPAL,Palghat,1047N 07639E,,
BRGJM,Guajara-Mirim,1048S 06522W,,
COGLP,Galapa,1054N 07453W,,
VNILB,Tan Cang - Long Binh ICD,1054N 10652E,,
BRBAR,Barra dos Coqueiros,1054S 03703W,,
INKAR,Karur,1057N 07805E,,
BROUR,Ourolandia,1058S 04104W,,
CDLKS,Likasi,1059S 02644E,,
INTDE,Tudiyalur,1105N 07657E,,
THBSP,Bang Saphan,1112N 09931E,,
INCCJ,Kozhikode (ex Calicut),1115N 07546E,,
INCDM,Chidambaram,1124N 07942E,,
PEHUA,Huaral,1129S 07712W,,
DJPOD,Djibouti,1135N 04308E,,
INMAH,Mahe,1142N 07532E,,
CDKPU,Kipushi,1145S 02714E,,
NIJIN,Jinotepe,1151N 08612W,,
VNBAN,Cam Lam,1154N 10909E,,
BRAGS,Alagoinhas,1208S 03825W,,
BFKOU,Koudougou,1214N 00222W,,
AUWNN,Winnellie,1226S 13053E,,
AUDRW,Darwin,1227S 13050E,,
BRIBA,Itaberaba,1232S 04018W,,
INKKP,Kanakapura,1233N 07725E,,
BRDIA,Dias d'Avila,1237S 03818W,,
BRCZA,Cruz das Almas,1240S 03906W,,
BRVHA,Vilhena,1244S 06008W,,
CDSKA,Sakania,1245S 02833E,,
MLDKB,Dialakorobougou,1248N 00725W,,
INKCP,Kanchipuram,1250N 07943E,,
THPYX,Pattaya,1256N 10053E,,
INMAG,Magadi,1258N 07714E,,
INBLR,Bangalore,1259N 07735E,,
INBPT,Bangarapet,1259N 07811E,,
INMAA,Chennai (ex Madras),1305N 08017E,,
THPHE,Phet Buri,1306N 09957E,,
INTRL,Tiruvallur,1309N 07955E,,
THSIR,Si Racha,1310N 10056E,,
INCHT,Chittoor,1312N 07906E,,
BBSPR,Saint Peter,1315N 05937W,,
INKAT,Kattupalli,1318N 08021E,,
INKTP,Kattupalli Port,1318N 08023E,,
BRMAK,Maracas,1326S 04027W,,
SVZAC,Zacatecoluca,1330N 08852W,,
THRAT,Ratchaburi,1332N 09948E,,
THSAU,"Samut Sakhon, Changwat",1335N 10018E,,
PHNAG,"Naga, Luzon",1337N 12310E,,
PEAB4,Abancay,1338S 07252W,,
INRGN,Renigunta,1339N 07931E,,
KHPPT,Paoy Pet (Poipet),1339N 10233E,,
KHPPT,Poipet (Paoy Pet),1339N 10233E,,
THPTR,Photharam,1341N 09951E,,
BRWGR,Wenceslau Guimaraes,1341S 03928W,,
SVSOY,Soyapango,1342N 08909W,,
SVAYE,Ayutuxtepeque,1344N 08912W,,
SVMJS,Mejicanos,1344N 08912W,,
THSAM,Samphanthawong,1344N 10030E,,
THBRK,Bang Rak,1344N 10032E,,
THBKK,Bangkok,1345N 10031E,,
THLKR,Lat Krabang,1345N 10046E,,
THBPG,Ban Pong,1348N 09952E,,
THBSE,Bangsu,1348N 10013E,,
THPYT,Phahon Yothin Customs House,1348N 10032E,,
THNTB,Nonthaburi,1350N 10029E,,
GTOBE,Obero,1402N 09049W,,
INGUD,Gudur,1408N 07950E,,
GTMAS,Masagua,1412N 09050W,,
PHCLB,Canlubang,1413N 12106E,,
GTCHR,Champerico,1418N 09155W,,
GTSLC,Santa Lucia Cotzumalguapa,1420N 09101W,,
GTPAT,Patulul,1425N 09110W,,
GTVLL,Villa Canales,1428N 09031W,,
GTSMI,San Miguel Petapa,1430N 09034W,,
GTNAH,Nahualate,1432N 09124W,,
GTSAA,San Antonio Suchitepequez,1432N 09125W,,
GTBOC,Boca del Monte,1433N 09031W,,
GTCTU,Ciudad Tecun Uman,1440N 09209W,,
THPCH,Pak Chong,1441N 10125E,,
GTCTF,Coatepeque,1442N 09152W,,
SNTHI,Thies,1448N 01656W,,
GTPRO,El Progreso,1451N 09003W,,
PHKLR,Clark Field (Angeles),1509N 12035E,,
INMRG,Madgaon,1518N 07357E,,
HNVNA,Villanueva,1519N 08800W,,
ERASM,Asmara,1520N 03856E,,
INMRM,Marmagao (Marmugao),1524N 07347E,,
INMRM,Marmugao (Marmagao),1524N 07347E,,
HNPRO,El Progreso,1524N 08748W,,
ERMSW,Massawa (Mitsiwa),1536N 03927E,,
GTERI,Entre Rios,1538N 08832W,,
THNSA,Nakhon Sawan,1541N 10007E,,
BOASN,La Asunta,1602S 06710W,,
BRCOC,Cidade Ocidental,1604S 04755W,,
THKKC,Khon Kaen,1626N 10250E,,
BOLPB,La Paz,1630S 06809W,,
BOALT,El Alto,1630S 06810W,,
PHBNG,Bauang,1631N 12019E,,
MMTLA,Thilawa,1639N 09615E,,
AUWRE,Woree,1657S 14545E,,
INSAM,Samalkot,1703N 08211E,,
AUATN,Atherton,1716S 14528E,,
FJLTK,Lautoka,1737S 17727E,,
CLGLG,General Lagos,1739S 06938W,,
INVTZ,Visakhapatnam,1742N 08318E,,
BOSRZ,Santa Cruz,1747S 06311W,,
FJMOM,Momi,1755S 17717E,,
BOORU,Oruro,1759S 06709W,,
ZWTHJ,Thompson Junction,1800S 02626E,,
PRCBJ,Cabo Rojo,1805N 06708W,,
INRNM,Ranasthalam,1812N 08341E,,
INLKH,Loni Kalbhor,1827N 07402E,,
DONEI,Neiba,1829N 07125W,,
ZWRSP,Rusape,1832S 03207E,,
INCST,Chinchwad Station,1838N 07347E,,
INURA,Uran,1853N 07256E,,
INBOM,Mumbai (ex Bombay),1858N 07249E,,
BOSRE,Sucre,1902S 06515W,,
CNDFA,Dongfang,1903N 10856E,,
INCSI,Chattrapati Shivaji International Apt,1905N 07252E,,
INMUM,Ahmednagar,1905N 07444E,,
INADE,Andheri East,1907N 07250E,,
DOPIM,Pimentel,1911N 07006W,,
INTHN,Thane,1912N 07258E,,
DOSNZ,Sanchez,1914N 06937W,,
AUMLS,Mount Louisa,1917S 14644E,,
DOGYB,Guayubin,1937S 07119W,,
BRITI,Itabira,1938S 04313W,,
DOMAN,Manzanillo,1942N 07145W,,
INMWA,Maliwada,1955N 07513E,,
CUMLG,Melgarejo,2003N 07556W,,
CUNIQ,Niquero,2003N 07735W,,
BRDIV,Divinopolis,2009S 04454W,,
BRIRO,Itabirito,2015S 04348W,,
INPRT,Paradip Garh,2019N 08637E,,
BRVIT,Vitoria,2019S 04019W,,
INVPI,Vapi,2022N 07254E,,
VNPLY,Phu Ly,2032N 10554E,,
VNHMC,Hoa Mac,2038N 10600E,,
INDMA,Dhamara,2048N 08654E,,
VNNHD,Nam Hai Dinh Vu Port,2049N 10651E,,
CUANT,Antilla,2050N 07551W,,
CUPIL,Pilon,2051N 07549W,,
BRAVB,Atilio Vivacqua,2055S 04111W,,
CUVTU,Las Tunas,2057N 07657W,,
INPAV,Pipavav (Victor) Port,2058N 07133E,,
CUBAN,Banes,2058N 07543W,,
RESPL,Saint-Paul,2059S 05516E,,
ZWCHI,Chiredzi,2103S 03140E,,
CUVIT,Puerto da Vita,2105N 07558W,,
CUGIB,Gibara,2106N 07608W,,
BRSZO,Sertaozinho,2108S 04759W,,
INSTV,Surat,2110N 07250E,,
BWFRW,Francistown,2110S 02731E,,
INKBC,Kril ICD,2111N 07242E,,
CUPPA,Puerto Padre,2112N 07636W,,
BRARU,Aracatuba,2112S 05025W,,
INBHI,Bhilai,2113N 08126E,,
CLOLL,Ollague,2114S 06816W,,
CNCKA,Chikan,2116N 11020E,,
BRGXP,Guaxupe,2118S 04642W,,
CUMNT,Puerto Manati,2122N 07650W,,
INRMT,Ramtek,2124N 07920E,,
INNOL,Panoli,2132N 07258E,,
CUNVT,Nuevitas,2133N 07716W,,
VNTNG,Thai Nguyen,2133N 10552E,,
CUBUF,Bufadero,2134N 07714W,,
CUPTA,Puerto Tarafa,2134N 07715W,,
BRSTA,Santo Antonio de Padua,2134S 04211W,,
INAKV,Ankleshwar,2136N 07300E,,
CNLHG,Liancheng,2137N 11017E,,
CUJUC,Jucaro,2138N 07851W,,
CUTDZ,Tunas de Zaza,2138N 07933W,,
INBRU,Bharuch,2142N 07258E,,
BRCGZ,Campos dos Goytacazes,2145S 04120W,,
BRJDF,Juiz de Fora,2145S 04321W,,
INBHU,Bhavnagar,2146N 07208E,,
BRACX,Acu Pt/Sao Joao da Barra,2150S 04100W,,
MMMNE,Myit Nge,2152N 09605E,,
BOBYC,Yacuiba,2202S 06341W,,
BOVLL,Villazon,2205S 06535W,,
CUMOR,Moron,2206N 07837W,,
ARLQU,La Quiaca,2206S 06537W,,
CNPIN,Pingxiang Railway Station,2207N 10644E,,
BRPPE,Presidente Prudente,2207S 05123W,,
CUBOQ,Boqueron,2210N 07901W,,
CNNPS,Nanping,2213N 11329E,,
BRPAR,Pouso Alegre,2214S 04556W,,
INRAJ,Rajkot,2217N 07047E,,
INFLT,Falta,2217N 08806E,,
PYPCJ,Puerto la Victoria,2217S 05756W,,
INBDQ,Vadodara,2218N 07312E,,
HKKWN,Kowloon,2218N 11410E,,
HKTKT,Tai Kok Tsui,2219N 11410E,,
HKKTZ,Kwun Tong,2219N 11413E,,
BRMGG,Mogi Guacu,2222S 04656W,,
INSIK,Sika,2226N 06950E,,
CLCJC,Calama,2227S 06855W,,
BRQRZ,Resende,2228S 04427W,,
BRSGR,Santa Gertrudes,2228S 04731W,,
BRCDM,Cachoeiras de Macacu,2229S 04239W,,
BRCRS,Cordeiropolis,2229S 04727W,,
BRECH,Engenheiro Coelho,2230S 04712W,,
INGRR,Garden Reach,2231N 08818E,,
INAPR,Alipore,2231N 08819E,,
CNHKM,Hekou,2231N 10359E,,
BWPAL,Palapye,2234S 02708E,,
BRLMR,Limeira,2234S 04724W,,
INHOW,Howrah,2236N 08816E,,
CLPDV,Pedro de Valdivia,2236S 06940W,,
BRLRA,Lorena,2244S 04507W,,
BRAME,Americana,2244S 04720W,,
INGAH,Godhra,2245N 07338E,,
BRBRX,Belford Roxo,2245S 04323W,,
